2500, 60 months,< 1 year,RENT,30000,car,1,0,36251,740,744,5,3,0,4,534,530,Charged Off
5600, 60 months,4 years,OWN,40000,small_business,5.55,0,38078,675,679,2,11,0,13,499,0,Charged Off
5375, 60 months,< 1 year,RENT,15000,other,18.08,0,38231,725,729,0,2,0,3,499,0,Charged Off
9000, 36 months,< 1 year,RENT,30000,debt_consolidation,10.08,0,38078,710,714,1,4,0,9,569,565,Charged Off
10000, 36 months,3 years,RENT,100000,other,7.06,0,33359,720,724,2,14,0,29,599,595,Charged Off
21000, 36 months,10+ years,RENT,105000,debt_consolidation,13.22,0,30348,705,709,0,7,0,38,534,530,Charged Off
6000, 36 months,1 year,RENT,76000,major_purchase,2.4,0,37043,690,694,1,7,0,7,499,0,Charged Off
15000, 36 months,9 years,RENT,60000,debt_consolidation,15.22,0,37895,695,699,1,7,0,11,509,505,Charged Off
5000, 60 months,2 years,RENT,50004,other,13.97,3,37895,675,679,0,14,0,22,504,500,Charged Off
5000, 36 months,10+ years,MORTGAGE,100000,debt_consolidation,16.33,0,34851,705,709,0,17,0,35,599,595,Charged Off
15000, 36 months,8 years,MORTGAGE,80000,debt_consolidation,9.12,0,33695,730,734,2,9,0,28,539,535,Charged Off
12000, 36 months,4 years,RENT,50000,car,20.88,0,38991,675,679,2,11,0,11,499,0,Charged Off
21000, 60 months,7 years,RENT,50000,debt_consolidation,21.58,0,36039,680,684,1,7,0,14,614,610,Charged Off
10000, 60 months,10+ years,RENT,45996,debt_consolidation,21.73,0,35551,755,759,1,7,0,15,564,560,Charged Off
12500, 60 months,5 years,RENT,30000,debt_consolidation,13.16,0,34790,690,694,0,7,1,28,659,655,Charged Off
8200, 60 months,4 years,RENT,75000,small_business,12.48,0,36526,675,679,3,6,0,11,544,540,Charged Off
6400, 36 months,5 years,RENT,75000,debt_consolidation,20.22,0,34669,660,664,0,9,0,27,499,0,Charged Off
17500, 60 months,7 years,MORTGAGE,45000,credit_card,21.31,0,37500,700,704,2,13,0,26,584,580,Charged Off
6200, 36 months,2 years,RENT,25000,debt_consolidation,20.64,0,35916,710,714,2,7,0,12,524,520,Charged Off
18825, 60 months,10+ years,RENT,38000,debt_consolidation,23.18,0,38322,700,704,0,6,0,7,644,640,Charged Off
10000, 36 months,1 year,RENT,75000,credit_card,24.14,0,35490,665,669,0,9,0,26,594,590,Charged Off
25000, 60 months,10+ years,MORTGAGE,67000,credit_card,14.15,0,36373,740,744,0,6,0,21,569,565,Charged Off
19750, 36 months,4 years,RENT,45000,debt_consolidation,22.8,0,36770,720,724,0,12,0,28,604,600,Charged Off
28000, 60 months,10+ years,RENT,52000,debt_consolidation,20.7,0,32478,685,689,0,10,0,16,559,555,Charged Off
24000, 36 months,8 years,MORTGAGE,90000,home_improvement,9.17,0,34851,715,719,1,9,0,23,639,635,Charged Off
11100, 36 months,10+ years,RENT,41000,credit_card,29.85,0,33239,755,759,1,8,0,18,569,565,Charged Off
12000, 36 months,2 years,RENT,42000,debt_consolidation,7.83,0,38869,725,729,2,8,0,16,519,515,Charged Off
10000, 36 months,8 years,RENT,60000,debt_consolidation,22.08,0,37073,695,699,0,8,0,26,539,535,Charged Off
13475, 60 months,10+ years,RENT,25000,credit_card,21.89,0,37226,730,734,1,7,0,14,599,595,Charged Off
5600, 36 months,1 year,MORTGAGE,85000,debt_consolidation,12.24,1,36281,675,679,3,8,0,31,544,540,Charged Off
2500, 36 months,n/a,OWN,12000,debt_consolidation,16.3,0,34547,730,734,2,13,0,20,519,515,Charged Off
10000, 36 months,5 years,RENT,65000,small_business,6.92,1,36495,690,694,2,12,0,17,514,510,Charged Off
7750, 36 months,< 1 year,RENT,24000,debt_consolidation,16.1,0,38231,665,669,1,4,0,7,604,600,Charged Off
20000, 60 months,6 years,RENT,70000,debt_consolidation,16.63,0,37561,665,669,1,10,0,24,514,510,Charged Off
21000, 60 months,3 years,RENT,60000,debt_consolidation,6.62,0,33208,735,739,0,7,0,11,684,680,Charged Off
15000, 36 months,10+ years,RENT,42000,debt_consolidation,19.63,0,37104,665,669,2,10,0,38,529,525,Charged Off
15000, 36 months,8 years,RENT,75000,debt_consolidation,16.03,0,33298,665,669,0,10,0,17,599,595,Charged Off
16000, 36 months,1 year,RENT,58500,debt_consolidation,20.64,0,34578,695,699,0,8,0,10,614,610,Charged Off
12000, 36 months,8 years,MORTGAGE,70000,other,8.4,0,38565,690,694,1,7,0,12,529,525,Charged Off
13650, 36 months,10+ years,MORTGAGE,86000,debt_consolidation,12.29,0,34455,700,704,1,12,0,34,554,550,Charged Off
10500, 36 months,3 years,RENT,30000,debt_consolidation,15,0,39387,680,684,1,7,0,8,519,515,Charged Off
15075, 36 months,10+ years,RENT,35000,debt_consolidation,20.16,0,36739,700,704,1,7,0,14,504,500,Charged Off
9500, 36 months,< 1 year,MORTGAGE,52500,moving,23.54,0,36342,695,699,2,14,0,42,664,660,Charged Off
7200, 36 months,3 years,RENT,68000,debt_consolidation,7.98,0,37257,720,724,0,5,0,14,574,570,Charged Off
26000, 60 months,10+ years,MORTGAGE,53000,home_improvement,11.77,0,36039,730,734,1,5,0,14,524,520,Charged Off
7000, 60 months,6 years,MORTGAGE,69600,credit_card,26.22,0,29129,730,734,0,10,0,23,564,560,Charged Off
10000, 36 months,2 years,RENT,70000,credit_card,2.69,0,36800,685,689,0,5,0,6,499,0,Charged Off
15600, 60 months,10+ years,RENT,50000,vacation,5.78,0,37773,740,744,1,8,0,11,624,620,Charged Off
4000, 36 months,2 years,RENT,25000,debt_consolidation,6.86,0,38384,685,689,3,5,0,13,579,575,Charged Off
10000, 36 months,10+ years,RENT,39000,credit_card,18.31,0,36008,720,724,1,7,0,19,669,665,Charged Off
12000, 36 months,7 years,RENT,80000,other,9.13,0,37895,715,719,0,8,0,16,509,505,Charged Off
16000, 60 months,10+ years,RENT,35000,small_business,16.22,0,37438,730,734,1,6,0,14,499,0,Charged Off
11875, 60 months,< 1 year,RENT,25920,debt_consolidation,23.75,0,36982,725,729,0,8,0,28,564,560,Charged Off
14000, 36 months,10+ years,OWN,45600,debt_consolidation,19.74,0,33756,740,744,0,5,0,10,529,525,Charged Off
8000, 36 months,5 years,RENT,50000,credit_card,13.22,0,38657,665,669,0,9,0,12,499,0,Charged Off
30000, 60 months,3 years,RENT,70000,small_business,0.94,0,38899,755,759,0,7,0,14,524,520,Charged Off
18000, 60 months,6 years,OWN,40000,home_improvement,18.42,0,36831,700,704,3,7,0,20,599,595,Charged Off
20000, 60 months,10+ years,OWN,59000,debt_consolidation,20.91,0,36739,665,669,2,16,0,32,499,0,Charged Off
9000, 60 months,3 years,RENT,60000,credit_card,22.56,0,35765,680,684,1,17,0,30,619,615,Charged Off
25000, 60 months,10+ years,RENT,61500,debt_consolidation,12.6,1,36617,685,689,0,11,0,25,539,535,Charged Off
20000, 60 months,10+ years,OWN,78216,debt_consolidation,10.79,0,34881,715,719,1,8,0,21,594,590,Charged Off
18000, 60 months,1 year,MORTGAGE,62000,debt_consolidation,7.82,0,32356,705,709,2,8,0,30,539,535,Charged Off
5000, 36 months,2 years,RENT,30000,debt_consolidation,23.84,0,37043,695,699,2,8,0,40,629,625,Charged Off
12000, 36 months,10+ years,RENT,55000,debt_consolidation,13,0,35855,705,709,0,10,0,17,504,500,Charged Off
10000, 36 months,5 years,RENT,32000,credit_card,21.83,0,37165,695,699,0,11,0,23,549,545,Charged Off
24000, 36 months,10+ years,MORTGAGE,116400,car,3.94,0,33939,765,769,4,14,0,31,514,510,Charged Off
12000, 36 months,10+ years,RENT,57200,debt_consolidation,16.36,0,36647,695,699,0,11,0,17,524,520,Charged Off
10000, 36 months,2 years,RENT,35000,debt_consolidation,12.03,0,36617,695,699,1,10,0,15,499,0,Charged Off
9750, 36 months,4 years,RENT,35000,debt_consolidation,29.04,0,35309,735,739,1,9,0,19,654,650,Charged Off
25000, 60 months,10+ years,RENT,60000,credit_card,20.04,0,36739,685,689,0,12,0,24,609,605,Charged Off
